-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
권오찬   프  1999/11/07  22  2021/07/15  48   48         52    0    2    0   52     0    2    0
김도현   99  1982/01/24  39  2003/07/02  53   53      2,244  128  136  148   47     0    1    5
김동영   99  1980/04/06  41  2005/05/04  53   53      4,315  410  427  436    0     0    0    0
김명신   99  1981/04/01  40  2005/05/04  52   52      2,300   89  157  162   53     3    2    4
김어수   프  1983/07/06  38  2005/05/04  52   52      3,867  232  297  333  235     6   11   18
김철호   프  1987/07/20  34  2008/06/18  53   53      2,497  210  211  232   98     3    1   11
김태경   99  1966/03/22  55  1990/06/01  51   51      5,343  343  409  441  153     6    3    4
김태현   프  1997/01/23  25  2020/07/15  51   51        373   16   22   19  288    10   18   17
김혜선   프  1988/08/31  33  2009/06/01  51   51      3,912  310  325  323  329    27   32   33
다실바   프  1978/12/15  43  2016/09/02  53   53      1,908  253  257  219  366    54   54   41
모준호   프  1991/12/31  30  2020/07/15  51   51        446   29   40   41  311    13   25   31
박재이   프  1996/02/14  25  2015/06/17  52   52      1,892  113  172  182  340    35   34   30
박종호   프  1994/03/09  27  2020/07/15  51   51        218    7    5   10  176     6    4    7
서강주   프  1998/04/11  23  2021/07/15  50   50         63    1    6    9   63     1    6    9
서승운   프  1989/08/30  32  2011/08/24  52   52      3,622  560  487  445  306    50   34   29
송경윤   프  1981/03/05  40  2007/05/18  53   53      4,415  325  420  423  310    13   19   21
신윤섭   프  1995/01/28  26  2021/07/15  51   51        130   11    6   13  130    11    6   13
요아니스 프  1985/09/22  36  2018/12/15  52   52        836   45   69   59  273    11   21    7
유광희   99  1988/09/25  33  2011/08/24  51   51      1,568   52  100  118  179     2    6    8
유현명   프  1979/05/20  42  2002/09/13  51   51      6,760 1129  902  711  288    54   45   25
윤형석   프  1998/12/16  23  2021/07/15  50   50         70    2    5    2   70     2    5    2
이성재   프  1982/10/18  39  2008/05/14  52   52      3,896  299  313  369  271    22   25   29
이아나   99  1989/01/01  33  2011/08/24  50   50      1,213   53   53   67    0     0    0    0
이효식   99  1996/06/04  25  2016/06/18  51   51      1,798  246  185  153  220    26   18   16
임성실   프  1981/02/15  40  2002/09/13  56   56      2,560  349  290  266  127    14   14   12
전진구   프  1996/03/23  25  2017/06/02  50   50        755   45   52   45   63     1    3    1
정도윤   99  1995/11/20  26  2016/06/18  48   48      1,661  133  129  169  226    19   13   21
정동철   프  1990/07/17  31  2011/08/24  48   48      2,611  165  181  193  302    10   10   19
정우주   프  1993/01/23  29  2018/06/14  48   48        862   47   45   61  253     4    8   14
조인권   프  1987/01/18  35  2008/06/18  52   52      4,285  618  482  461  337    32   30   36
조창욱   99  1980/02/10  41  2005/05/04  53   53      4,104  371  351  360   38     2    2    5
진겸     프  1994/07/04  27  2015/06/17  52   52      1,913  161  194  197  227    25   27   26
채상현   99  1993/11/21  28  2014/06/05  52   52      1,527  114  134  140  226    12   22   18
최시대   프  1980/09/12  41  2007/05/18  51   51      5,290  699  627  562  351    45   46   35
최은경   프  1997/02/24  24  2016/06/18  51   51      1,237   76  100  104  127     9    4    7
페로비치 프  1981/07/17  40  2020/04/01  53   53      1,778  339  249  224  285    69   40   40
