-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
김귀배   프  1962/12/18  60  1979/04/11  52   52       4552  326  326  386   60     3    2    4
김덕현   프  1992/11/02  30  2017/06/02  53   53        405   52   41   33    5     0    0    0
김동수   프  1986/12/23  36  2014/06/05  49   49       3152  285  300  327  272    25   19   29
김아현   프  1998/03/13  24  2020/07/17  50   50        670   27   52   43  344    17   29   19
김옥성   프  1967/04/05  55  1987/04/01  52   52       8635  549  664  761  282     8   20   17
김용근   프  1982/02/12  40  2005/05/04  51   51       5463  848  705  610  421    56   43   40
김정준   프  1989/07/04  33  2010/06/09  52   52       3142  192  242  249  427    29   31   36
김태훈   프  1995/07/17  27  2013/06/01  53   53       1159   64   81   88  191     5    4   10
김태희   프  2000/11/21  22  2021/07/14  49   49        348   32   30   42  284    31   26   38
김효정   프  1996/01/01  26  2017/06/02  50   50       1396   65   82  101  283    14   16   20
다비드   프  1989/02/14  33  2017/12/01  51   51       1781  142  159  158  293    34   26   28
먼로     프  1967/01/14  55  2019/02/01  52   52       1225  133  159  132  302    27   37   31
문성혁   프  1995/09/06  27  2018/06/15  52   52       1056   91   81   92  313    23   22   29
문세영   프  1980/09/04  42  2001/07/06  52   52       8528 1808 1339 1025  307    87   53   45
문정균   프  1973/12/06  49  1998/06/15  51   51       6598  449  543  554  162     7    8   12
박병윤   프  1987/04/24  35  2008/06/18  53   53       2698  163  200  203  154     6   11    7
박상우   프  1988/03/18  34  2009/06/01  52   52       2499   91  149  155   83     1    4    3
박을운   프  1975/04/04  47  1998/06/15  52   52       3955  458  445  390  289    28   29   20
박태종   프  1965/12/20  57  1987/04/01  51   51      15186 2197 2029 1723  311    33   34   35
박현우   프  1990/12/01  32  2012/06/07  52   52       1960  120  118  130  147     6    8   10
방춘식   프  1969/09/19  53  1990/06/01  51   51       4991  376  377  424   85     5    1    5
부민호   프  1985/06/03  37  2007/06/01  52   52       1930  129  126  149   99     5    9    6
빅투아르 프  1986/12/11  36  2017/07/05  52   52       1873  202  210  204  259    33   37   29
송재철   프  1990/10/24  32  2013/06/01  52   52       3454  277  317  322  499    51   55   59
신형철   프  1967/05/30  55  1988/04/01  52   52       7357  768  803  761  119    14    7   16
안토니오 프  1987/09/20  35  2017/05/06  54   54       2143  298  281  216  313    44   42   32
안효리   프  1989/06/04  33  2012/06/07  52   52       1626   78   83  100    0     0    0    0
오수철   프  1997/03/25  25  2022/07/01  50   50        179   16   17   19  179    16   17   19
유승완   프  1985/12/17  37  2007/06/01  53   53       5055  443  395  477  445    39   45   55
윤영민   99  1973/12/15  49  1996/06/01  52   52       1761   70   86  100    0     0    0    0
윤태혁   99  1979/01/03  43  1999/09/01  54   54       1804  126  159  148    0     0    0    0
이강서   99  1988/03/19  34  2010/06/09  52   52       1230   56   59   95    0     0    0    0
이기회   99  1978/11/04  44  2004/06/02  52   52       3388  119  157  196    7     0    0    1
이동국   99  1979/11/23  43  2001/07/06  52   52       3633  224  263  296    5     0    0    0
이동진   프  1996/01/10  26  2017/06/02  52   52        759   51   54   52   24     3    1    1
이동하   프  1994/07/28  28  2016/06/18  48   48       1688  134  154  170  280    28   33   36
이상규   프  2000/10/04  22  2022/07/01  50   50         62    1    2    2   62     1    2    2
이용호   프  1996/12/10  26  2015/06/17  50   50       1077   63   72   85  290    14   11   18
이철경   프  1988/08/25  34  2016/06/18  49   49       1116   86   96   89   32     1    0    2
이해동   99  1988/03/23  34  2009/06/01  52   52       1552   62   69  102    0     0    0    0
이혁     프  1987/01/05  35  2011/08/24  52   52       4509  421  377  376  447    61   56   41
이현종   99  1993/08/24  29  2015/06/18  49   49       1689  191  164  190  266    12   19   25
임기원   프  1980/10/10  42  2013/06/19  49   49       2787  390  299  310  118    17   19   11
임다빈   프  1996/08/13  26  2020/07/17  52   52        896   67   75   78  477    34   42   44
장추열   프  1988/09/11  34  2010/06/09  53   53       3663  371  386  395  402    54   54   40
정정희   프  1993/09/15  29  2014/06/05  51   51       1865  111  125  134  316    27   28   24
정평수   99  1965/04/16  57  1987/04/01  52   52       4886  285  376  419    3     0    0    0
조상범   프  1994/02/17  28  2014/06/05  51   51       1768   71  142  136  290     9   23   15
조재로   프  1993/09/29  29  2015/06/18  49   49       1514  115  139  152  108     5   12    9
조한별   프  1991/02/04  31  2013/06/01  52   52       1916   75  122  128  336    21   18   19
지하주   99  1974/04/10  48  1995/07/01  51   51       3490  264  278  306   11     1    0    1
최범현   프  1979/04/11  43  2001/07/06  53   53       6971  874  825  735  205    26   29   21
최원준   99  1984/08/28  38  2007/06/01  53   53       2089   88  121  150    5     0    0    0
하정훈   프  1990/09/04  32  2015/06/18  49   49       1545   69   96  106  103     6    4    5
함완식   프  1978/01/01  44  1998/06/15  53   53       6292  796  813  738  254    37   31   31
황순도   99  1977/10/26  45  1998/06/15  52   52       2364   88  135  153    4     1    0    0
황종우   프  1982/07/18  40  2007/05/19  51   51        799   25   33   47    1     0    0    0
