-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
김귀배   프  1962/12/18  59  1979/04/11  52   52       4541  326  325  386   91     4    3    8
김덕현   프  1992/11/02  29  2017/06/02  53   53        405   52   41   33    5     0    0    0
김동수   프  1986/12/23  35  2014/06/05  49   49       3038  276  296  318  278    26   26   28
김아현   프  1998/03/13  24  2020/07/17  50   50        540   22   42   36  303    15   25   21
김옥성   프  1967/04/05  55  1987/04/01  52   52       8541  549  659  755  266    11   21   13
김용근   프  1982/02/12  40  2005/05/04  51   51       5296  829  686  594  427    61   40   44
김정준   프  1989/07/04  33  2010/06/09  52   52       2971  182  229  234  383    30   28   34
김태훈   프  1995/07/17  27  2013/06/01  53   53       1098   63   79   85  157     6    4    8
김태희   프  2000/11/21  21  2021/07/14  49   49        193   18   19   17  193    18   19   17
김효정   프  1996/01/01  26  2017/06/02  50   50       1313   62   74   96  317    14   15   24
다비드   프  1989/02/14  33  2017/12/01  51   51       1646  123  147  146  338    37   28   37
먼로     프  1967/01/14  55  2019/02/01  52   52       1138  125  147  120  364    35   45   35
문성혁   프  1995/09/06  26  2018/06/15  52   52        948   75   75   84  325    22   27   36
문세영   프  1980/09/04  41  2001/07/06  52   52       8413 1777 1318 1008  277    89   46   33
문정균   프  1973/12/06  48  1998/06/15  51   51       6509  445  538  547  174     4    7   10
박병윤   프  1987/04/24  35  2008/06/18  53   53       2662  163  198  199  164     8   12    3
박상우   프  1988/03/18  34  2009/06/01  52   52       2489   91  149  155  127     1    4    7
박을운   프  1975/04/04  47  1998/06/15  52   52       3868  447  433  387  308    26   27   28
박태종   프  1965/12/20  56  1987/04/01  51   51      15042 2180 2016 1703  298    36   35   30
박현우   프  1990/12/01  31  2012/06/07  52   52       1926  119  116  128  207     8   12   20
방춘식   프  1969/09/19  52  1990/06/01  51   51       4947  372  376  421  101     4    0    6
부민호   프  1985/06/03  37  2007/06/01  52   52       1930  129  126  149  129     6   10    8
빅투아르 프  1986/12/11  35  2017/07/05  52   52       1781  191  200  196  310    33   43   33
송재철   프  1990/10/24  31  2013/06/01  52   52       3257  256  295  301  525    53   56   53
신형철   프  1967/05/30  55  1988/04/01  52   52       7284  760  798  748   64     8    4    5
안토니오 프  1987/09/20  34  2017/05/06  54   54       2015  281  259  203  323    46   51   33
안효리   프  1989/06/04  33  2012/06/07  52   52       1626   78   83  100    0     0    0    0
오수철   프  1997/03/25  25  2022/07/01  50   50         16    4    0    3   16     4    0    3
유승완   프  1985/12/17  36  2007/06/01  53   53       4859  427  380  460  426    43   44   55
윤영민   99  1973/12/15  48  1996/06/01  52   52       1761   70   86  100    4     0    0    0
윤태혁   99  1979/01/03  43  1999/09/01  54   54       1804  126  159  148   16     0    2    1
이강서   99  1988/03/19  34  2010/06/09  52   52       1230   56   59   95    0     0    0    0
이기회   99  1978/11/04  43  2004/06/02  52   52       3388  119  157  196   51     1    0    3
이동국   99  1979/11/23  42  2001/07/06  52   52       3633  224  263  296   50     1    3    1
이동진   99  1996/01/10  26  2017/06/02  49   49        735   48   53   51    0     0    0    0
이동하   프  1994/07/28  28  2016/06/18  48   48       1502  115  135  145   94     9   14   11
이상규   프  2000/10/04  21  2022/07/01  50   50         10    0    1    0   10     0    1    0
이용호   프  1996/12/10  25  2015/06/17  50   50        964   59   65   79  273    16   11   18
이철경   프  1988/08/25  33  2016/06/18  49   49       1116   86   96   89  135    13    8    8
이해동   99  1988/03/23  34  2009/06/01  52   52       1552   62   69  102    5     0    0    1
이혁     프  1987/01/05  35  2011/08/24  52   52       4339  395  358  359  371    47   46   33
이현종   프  1993/08/24  28  2015/06/18  49   49       1630  191  158  189  242    15   16   28
임기원   프  1980/10/10  41  2013/06/19  49   49       2751  384  295  308  174    26   28   21
임다빈   프  1996/08/13  25  2020/07/17  52   52        710   54   56   61  440    28   32   37
장추열   프  1988/09/11  33  2010/06/09  53   53       3525  349  371  382  431    47   55   47
정정희   프  1993/09/15  28  2014/06/05  49   49       1774  102  116  128  327    24   25   25
정평수   99  1965/04/16  57  1987/04/01  52   52       4886  285  376  419   33     1    0    2
조상범   프  1994/02/17  28  2014/06/05  51   51       1680   68  133  129  353     7   28   17
조재로   99  1993/09/29  28  2015/06/18  49   49       1406  110  127  143    0     0    0    0
조한별   프  1991/02/04  31  2013/06/01  52   52       1789   71  114  124  327    20   15   22
지하주   99  1974/04/10  48  1995/07/01  51   51       3490  264  278  306   39     1    1    2
최범현   프  1979/04/11  43  2001/07/06  53   53       6922  865  815  729  242    28   36   29
최원준   99  1984/08/28  37  2007/06/01  53   53       2089   88  121  150   30     0    0    3
하정훈   프  1990/09/04  31  2015/06/18  49   49       1522   68   96  105  165     8   10   11
함완식   프  1978/01/01  44  1998/06/15  53   53       6180  780  804  724  245    40   36   30
황순도   99  1977/10/26  44  1998/06/15  52   52       2364   88  135  153   34     2    1    1
황종우   프  1982/07/18  40  2007/05/19  51   51        799   25   33   47    1     0    0    0
