-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
권오찬   프  1999/11/07  22  2021/07/15  48   48        137    3    8    6  134     3    8    6
김도현   99  1982/01/24  40  2003/07/02  53   53       2244  128  136  148    6     0    0    1
김동영   99  1980/04/06  42  2005/05/04  53   53       4400  412  433  442   85     2    6    6
김명신   99  1981/04/01  41  2005/05/04  52   52       2300   89  157  162   19     2    1    2
김어수   프  1983/07/06  39  2005/05/04  52   52       4019  241  303  341  245    13   14   17
김철호   프  1987/07/20  35  2008/06/18  53   53       2570  216  218  237   99     7    7   11
김태경   99  1966/03/22  56  1990/06/01  51   51       5344  343  409  442   40     2    0    2
김태현   99  1997/01/23  25  2020/07/15  51   51        514   25   29   32  237    11   14   17
김혜선   프  1988/08/31  33  2009/06/01  51   51       4152  339  364  349  419    45   64   42
다실바   프  1978/12/15  43  2016/09/02  53   53       2151  290  287  251  385    56   44   45
모준호   프  1991/12/31  30  2020/07/15  51   51        658   39   49   54  355    16   19   29
박재이   프  1996/02/14  26  2015/06/17  52   52       2114  150  203  208  373    55   43   42
박종호   프  1994/03/09  28  2020/07/15  51   51        256    8    6   13   74     2    1    5
서강주   프  1998/04/11  24  2021/07/15  50   50        243   11   23   31  238    11   23   31
서승운   프  1989/08/30  32  2011/08/24  52   52       3876  603  530  479  372    64   59   44
송경윤   프  1981/03/05  41  2007/05/18  53   53       4635  347  438  446  360    30   25   32
신윤섭   프  1995/01/28  27  2021/07/15  52   52        312   17   17   30  302    16   17   29
유광희   99  1988/09/25  33  2011/08/24  51   51       1568   52  100  118   62     2    4    5
유현명   프  1979/05/20  43  2002/09/13  51   51       6990 1180  926  741  360    75   41   39
윤형석   프  1998/12/16  23  2021/07/15  50   50        213    4   15   18  209     4   14   18
이성재   프  1982/10/18  39  2008/05/14  52   52       4104  318  322  387  351    30   20   38
이아나   99  1989/01/01  33  2011/08/24  50   50       1213   53   53   67    0     0    0    0
이홍락   프  1997/12/17  24  2022/07/01  50   50          9    0    1    0    9     0    1    0
이효식   99  1996/06/04  26  2016/06/18  51   51       1798  246  185  153   31     5    4    2
임성실   프  1981/02/15  41  2002/09/13  56   56       2615  352  294  275  111    12   11   15
전진구   프  1996/03/23  26  2017/06/02  50   50        859   46   61   52  167     2   12    8
정도윤   프  1995/11/20  26  2016/06/18  48   48       1788  146  143  180  137    14   16   12
정동철   프  1990/07/17  32  2011/08/24  48   48       2668  166  181  194  166     3    3    7
정우주   프  1993/01/23  29  2018/06/14  48   48        932   47   48   62  144     3    5    8
조인권   프  1987/01/18  35  2008/06/18  52   52       4486  637  517  483  347    34   47   41
조창욱   99  1980/02/10  42  2005/05/04  53   53       4104  371  351  360    6     1    2    1
진겸     99  1994/07/04  28  2015/06/17  52   52       1938  162  194  199  158    15   20   19
채상현   프  1993/11/21  28  2014/06/05  52   52       1666  122  146  150  180    10   16   13
최시대   프  1980/09/12  41  2007/05/18  51   51       5513  733  643  578  386    54   32   29
최은경   프  1997/02/24  25  2016/06/18  51   51       1427   86  114  126  286    19   18   29
페로비치 프  1981/07/17  41  2020/04/01  53   53       1945  371  272  234  259    55   36   22
