-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
김도현   19  1982/01/24  39  2003/07/02  53   53      2,233  128  136  146  122     2    3    7
김동영   99  1980/04/06  41  2005/05/04  53   53      4,315  410  427  436  105     3    2    7
김명신   13  1981/04/01  40  2005/05/04  52   52      2,275   87  156  160   75     1    3    7
김어수   18  1983/07/06  38  2005/05/04  53   53      3,741  227  288  323  257     3    6   13
김철호   28  1987/07/20  33  2008/06/18  53   53      2,470  209  211  225  169     6    9   14
김태경   17  1966/03/22  55  1990/06/01  51   51      5,285  340  409  440  191     4    4    9
김태현   21  1997/01/23  24  2020/07/15  51   51        225   12   11   12  225    12   11   12
김태훈   05  1995/07/17  25  2013/06/01  53   53        933   57   75   77  100     2    4    6
김혜선   04  1988/08/31  32  2009/06/01  51   51      3,679  287  299  301   96     4    6   11
다실바   프  1978/12/15  42  2016/09/02  53   53      1,698  224  229  194  340    46   52   39
모준호   12  1991/12/31  29  2020/07/15  51   51        246   22   24   19  246    22   24   19
박재이   32  1996/02/14  25  2015/06/17  52   52      1,699   90  153  163  322    23   32   32
박종호   33  1994/03/09  27  2020/07/15  51   51        154    5    4    6  154     5    4    6
서승운   31  1989/08/30  31  2011/08/24  52   52      3,444  528  464  427  307    48   36   35
송경윤   29  1981/03/05  40  2007/05/18  52   52      4,218  314  411  411  140     3   12   10
요아니스 프  1985/09/22  35  2018/12/15  52   52        681   39   58   55  280    15   28   20
유광희   21  1988/09/25  32  2011/08/24  51   51      1,482   50   96  112  212     3    6   12
유현명   08  1979/05/20  42  2002/09/13  51   51      6,611 1100  883  699  338    62   55   38
이성재   30  1982/10/18  38  2008/05/14  52   52      3,706  284  295  348  206    16   19   16
이아나   99  1989/01/01  32  2011/08/24  50   50      1,213   53   53   67    0     0    0    0
이효식   20  1996/06/04  25  2016/06/18  51   51      1,723  236  177  148  318    42   31   26
임성실   14  1981/02/15  40  2002/09/13  56   56      2,487  337  281  260  123     6   11   14
전진구   99  1996/03/23  25  2017/06/02  50   50        692   44   49   44    0     0    0    0
정도윤   15  1995/11/20  25  2016/06/18  48   48      1,582  130  118  163  239    27   15   26
정동철   04  1990/07/17  30  2011/08/24  48   48      2,464  163  178  184  312    24   17   21
정우주   20  1993/01/23  28  2018/06/14  48   48        748   44   43   53  270     6    9   11
조인권   07  1987/01/18  34  2008/06/18  52   52      4,093  600  464  437  334    37   29   33
조창욱   22  1980/02/06  41  2005/05/04  53   53      4,093  370  349  358   68     4    3    7
진겸     26  1994/07/04  27  2015/06/17  52   52      1,751  141  174  175  200    16   22   20
채상현   16  1993/11/21  27  2014/06/05  52   52      1,446  110  127  132  237    12   20   16
최시대   09  1980/09/12  40  2007/05/18  51   51      5,078  673  602  542  319    50   39   26
최은경   99  1997/02/24  24  2016/06/18  51   51      1,136   67   96   97  103     0    9    9
페로비치 프  1981/07/17  39  2020/04/01  53   53      1,635  304  230  207  283    66   45   35
