-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
김도현   19  1982/01/24  39  2003/07/02  53   53      2,227  128  136  145  130     4    3    6
김동영   16  1980/04/06  41  2005/05/04  53   53      4,315  410  427  436  106     3    2    7
김명신   13  1981/04/01  40  2005/05/04  52   52      2,266   87  155  159   78     1    2    6
김어수   18  1983/07/06  37  2005/05/04  53   53      3,716  226  288  323  262     4    7   14
김철호   28  1987/07/20  33  2008/06/18  53   53      2,453  209  211  224  163     8   10   14
김태경   17  1966/03/22  55  1990/06/01  51   51      5,270  340  408  440  192     4    3   11
김태현   21  1997/01/23  24  2020/07/15  51   51        190    9   10    7  190     9   10    7
김태훈   05  1995/07/17  25  2013/06/01  53   53        926   57   75   76  109     3    4    7
김현중   99  1989/02/26  32  2012/06/11  50   50        984   60   68   85    0     0    0    0
김혜선   04  1988/08/31  32  2009/06/01  51   51      3,641  286  295  297   58     3    2    7
다실바   프  1978/12/15  42  2016/09/02  53   53      1,667  219  224  192  353    47   48   46
모준호   12  1991/12/31  29  2020/07/15  51   51        216   18   22   12  216    18   22   12
박재이   32  1996/02/14  25  2015/06/17  52   52      1,671   88  147  162  323    23   30   34
박종호   33  1994/03/09  27  2020/07/15  51   51        131    4    3    5  131     4    3    5
서승운   31  1989/08/30  31  2011/08/24  52   52      3,416  523  459  425  316    49   37   38
송경윤   06  1981/03/05  40  2007/05/18  53   53      4,198  314  411  408  122     3   12    8
오경환   99  1980/01/30  41  1999/09/01  53   53      4,480  429  432  387   71     3    3    5
요아니스 프  1985/09/22  35  2018/12/15  52   52        654   37   55   55  270    13   27   21
유광희   21  1988/09/25  32  2011/08/24  51   51      1,465   50   95  112  211     3    6   12
유현명   08  1979/05/20  42  2002/09/13  51   51      6,576 1094  874  695  337    62   56   36
이성재   30  1982/10/18  38  2008/05/14  52   52      3,675  284  290  348  208    20   15   20
이아나   99  1989/01/01  32  2011/08/24  50   50      1,213   53   53   67    0     0    0    0
이효식   10  1996/06/04  24  2016/06/18  51   51      1,696  231  175  148  324    44   32   29
이희천   24  1983/08/23  37  2006/07/17  52   52      2,212  174  157  173  117     5    6   11
임성실   14  1981/02/15  40  2002/09/13  56   56      2,472  337  280  260  108     6   10   14
전진구   99  1996/03/23  25  2017/06/02  50   50        692   44   49   44    0     0    0    0
정도윤   15  1995/11/20  25  2016/06/18  48   48      1,546  127  117  159  221    25   15   22
정동철   04  1990/07/17  30  2011/08/24  48   48      2,435  163  178  184  312    25   19   21
정우주   20  1993/01/23  28  2018/06/14  48   48        719   44   42   51  273     6    9   10
조인권   07  1987/01/18  34  2008/06/18  52   52      4,061  596  461  433  339    37   34   35
조창욱   27  1980/02/06  41  2005/05/04  53   53      4,089  369  349  358   66     3    3    7
진겸     26  1994/07/04  26  2015/06/17  52   52      1,742  138  174  175  220    16   23   23
채상현   13  1993/11/21  27  2014/06/05  52   52      1,416  108  123  130  207    10   16   14
최시대   09  1980/09/12  40  2007/05/18  51   51      5,044  667  600  537  319    48   40   25
최은경   99  1997/02/24  24  2016/06/18  51   51      1,136   67   96   97  121     1    9   11
페로비치 프  1981/07/17  39  2020/04/01  53   53      1,606  299  229  198  254    61   44   26
