-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
김도현   19  1982/01/24  39  2003/07/02  53   53      2,197  128  135  143  108     4    2    4
김동영   16  1980/04/06  40  2005/05/04  53   53      4,315  410  427  436  111     3    2    7
김명신   13  1981/04/01  39  2005/05/04  52   52      2,250   86  155  158   62     0    2    5
김어수   18  1983/07/06  37  2005/05/04  53   53      3,647  226  286  316  193     4    5    7
김철호   29  1987/07/20  33  2008/06/18  53   53      2,413  209  210  222  123     8    9   12
김태경   17  1966/03/22  54  1990/06/01  51   51      5,199  337  406  438  125     1    1    9
김태현   21  1997/01/23  24  2020/07/15  51   51        101    7    4    3  101     7    4    3
김태훈   12  1995/07/17  25  2013/06/01  53   53        889   56   74   73   78     2    3    5
김현중   99  1989/02/26  31  2012/06/11  50   50        984   60   68   85    0     0    0    0
김혜선   04  1988/08/31  32  2009/06/01  51   51      3,583  283  293  290    0     0    0    0
다실바   프  1978/12/15  42  2016/09/02  53   53      1,563  203  206  180  256    34   31   36
모준호   99  1991/12/31  29  2020/07/15  50   50        135   16   15   10  135    16   15   10
박재이   32  1996/02/14  25  2015/06/17  49   49      1,571   78  139  153  230    14   22   26
박종호   33  1994/03/09  26  2020/07/15  50   50         54    1    2    3   54     1    2    3
서승운   31  1989/08/30  31  2011/08/24  52   52      3,336  515  454  416  243    43   33   29
송경윤   06  1981/03/05  39  2007/05/18  53   53      4,123  312  403  404   53     1    4    4
오경환   99  1980/01/30  41  1999/09/01  53   53      4,480  429  432  387   78     3    5    5
요아니스 프  1985/09/22  35  2018/12/15  52   52        578   34   49   52  194    10   21   18
유광희   21  1988/09/25  32  2011/08/24  51   51      1,404   50   95  110  157     3    6   10
유현명   08  1979/05/20  41  2002/09/13  51   51      6,486 1077  859  687  254    46   41   31
이성재   30  1982/10/18  38  2008/05/14  52   52      3,646  281  290  343  187    17   17   15
이아나   99  1989/01/01  32  2011/08/24  50   50      1,213   53   53   67    0     0    0    0
이효식   10  1996/06/04  24  2016/06/18  51   51      1,599  223  168  138  234    37   26   20
이희천   24  1983/08/23  37  2006/07/17  52   52      2,212  174  157  173  117     5    6   11
임성실   14  1981/02/15  40  2002/09/13  56   56      2,433  335  276  254   69     4    6    8
전진구   99  1996/03/23  24  2017/06/02  50   50        692   44   49   44    0     0    0    0
정도윤   15  1995/11/20  25  2016/06/18  48   48      1,454  115  116  150  129    13   14   13
정동철   04  1990/07/17  30  2011/08/24  48   48      2,329  155  171  178  213    17   14   16
정우주   20  1993/01/23  28  2018/06/14  48   48        627   43   38   47  189     6    6    6
조인권   07  1987/01/18  34  2008/06/18  52   52      3,966  588  453  426  244    29   26   28
조창욱   27  1980/02/06  41  2005/05/04  52   52      4,068  369  349  355   48     3    3    4
진겸     26  1994/07/04  26  2015/06/17  52   52      1,699  137  170  171  183    16   19   19
채상현   13  1993/11/21  27  2014/06/05  52   52      1,314  103  113  123  105     5    6    7
최시대   09  1980/09/12  40  2007/05/18  51   51      4,959  655  587  530  242    36   28   18
최은경   24  1997/02/24  23  2016/06/18  51   51      1,123   67   96   97  109     1    9   11
페로비치 프  1981/07/17  39  2020/04/01  53   53      1,507  272  212  187  155    34   27   15
