-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
김도현   19  1982/01/24  39  2003/07/02  53   53      2,219  128  135  145  122     4    2    6
김동영   16  1980/04/06  41  2005/05/04  53   53      4,315  410  427  436  106     3    2    7
김명신   13  1981/04/01  40  2005/05/04  52   52      2,260   87  155  158   72     1    2    5
김어수   18  1983/07/06  37  2005/05/04  53   53      3,688  226  288  320  234     4    7   11
김철호   29  1987/07/20  33  2008/06/18  53   53      2,443  209  211  224  153     8   10   14
김태경   17  1966/03/22  55  1990/06/01  51   51      5,237  338  406  439  159     2    1   10
김태현   21  1997/01/23  24  2020/07/15  51   51        161    9    7    7  161     9    7    7
김태훈   12  1995/07/17  25  2013/06/01  53   53        912   57   74   75   95     3    3    6
김현중   99  1989/02/26  32  2012/06/11  50   50        984   60   68   85    0     0    0    0
김혜선   04  1988/08/31  32  2009/06/01  51   51      3,604  284  295  293   21     1    2    3
다실바   프  1978/12/15  42  2016/09/02  53   53      1,619  213  217  186  305    41   41   40
모준호   02  1991/12/31  29  2020/07/15  51   51        172   17   18   11  172    17   18   11
박재이   32  1996/02/14  25  2015/06/17  52   52      1,630   83  142  159  282    18   25   31
박종호   33  1994/03/09  27  2020/07/15  51   51        101    2    3    4  101     2    3    4
서승운   31  1989/08/30  31  2011/08/24  52   52      3,385  519  457  422  285    45   35   35
송경윤   06  1981/03/05  40  2007/05/18  53   53      4,159  313  406  406   83     2    7    6
오경환   99  1980/01/30  41  1999/09/01  53   53      4,480  429  432  387   71     3    3    5
요아니스 프  1985/09/22  35  2018/12/15  52   52        620   35   51   55  236    11   23   21
유광희   21  1988/09/25  32  2011/08/24  51   51      1,439   50   95  112  185     3    6   12
유현명   08  1979/05/20  41  2002/09/13  51   51      6,539 1088  869  690  300    56   51   31
이성재   30  1982/10/18  38  2008/05/14  52   52      3,659  282  290  345  192    18   15   17
이아나   99  1989/01/01  32  2011/08/24  50   50      1,213   53   53   67    0     0    0    0
이효식   10  1996/06/04  24  2016/06/18  51   51      1,657  227  173  144  285    40   30   25
이희천   24  1983/08/23  37  2006/07/17  52   52      2,212  174  157  173  117     5    6   11
임성실   14  1981/02/15  40  2002/09/13  56   56      2,456  335  279  256   92     4    9   10
전진구   99  1996/03/23  25  2017/06/02  50   50        692   44   49   44    0     0    0    0
정도윤   15  1995/11/20  25  2016/06/18  48   48      1,500  121  116  153  175    19   14   16
정동철   04  1990/07/17  30  2011/08/24  48   48      2,389  161  173  182  266    23   14   19
정우주   20  1993/01/23  28  2018/06/14  48   48        675   43   41   47  229     5    8    6
조인권   07  1987/01/18  34  2008/06/18  52   52      4,021  592  457  430  299    33   30   32
조창욱   27  1980/02/06  41  2005/05/04  53   53      4,076  369  349  356   53     3    3    5
진겸     26  1994/07/04  26  2015/06/17  52   52      1,715  137  172  173  193    15   21   21
채상현   13  1993/11/21  27  2014/06/05  52   52      1,371  106  118  129  162     8   11   13
최시대   09  1980/09/12  40  2007/05/18  51   51      5,006  662  595  532  281    43   35   20
최은경   24  1997/02/24  24  2016/06/18  51   51      1,136   67   96   97  121     1    9   11
페로비치 프  1981/07/17  39  2020/04/01  53   53      1,562  287  222  193  210    49   37   21
