-------------------------------------------------------------------------------------------------
기수명   조  생년월일   나이 데뷔일자   중량 타조중량 총출전 1위  2위  3위 1년출전 1위  2위  3위 
-------------------------------------------------------------------------------------------------
권오찬   05  1999/11/07  21  2021/07/15  48   48          5    0    0    0    5     0    0    0
김도현   19  1982/01/24  39  2003/07/02  53   53      2,238  128  136  147   98     0    3    4
김동영   99  1980/04/06  41  2005/05/04  53   53      4,315  410  427  436   79     2    2    4
김명신   14  1981/04/01  40  2005/05/04  52   52      2,281   87  156  160   68     1    2    6
김어수   18  1983/07/06  38  2005/05/04  53   53      3,779  230  289  325  232     5    5   12
김철호   28  1987/07/20  34  2008/06/18  53   53      2,471  209  211  226  143     4    7   12
김태경   17  1966/03/22  55  1990/06/01  51   51      5,307  341  409  440  171     5    4    5
김태현   21  1997/01/23  24  2020/07/15  51   51        289   14   16   16  282    13   16   16
김태훈   10  1995/07/17  26  2013/06/01  53   53        950   57   76   78   90     2    3    7
김혜선   04  1988/08/31  33  2009/06/01  51   51      3,745  294  303  308  162    11   10   18
다실바   프  1978/12/15  42  2016/09/02  53   53      1,776  236  245  207  302    46   55   37
모준호   12  1991/12/31  29  2020/07/15  51   51        315   23   30   28  286    18   26   25
박재이   08  1996/02/14  25  2015/06/17  52   52      1,749   95  160  166  285    22   31   26
박종호   33  1994/03/09  27  2020/07/15  51   51        183    6    5    8  165     5    4    8
서강주   19  1998/04/11  23  2021/07/15  50   50          8    0    0    1    8     0    0    1
서승운   31  1989/08/30  32  2011/08/24  52   52      3,514  540  472  437  278    39   28   33
송경윤   29  1981/03/05  40  2007/05/18  52   52      4,285  317  413  414  207     6   14   13
신윤섭   01  1995/01/28  26  2021/07/15  51   51         14    3    0    1   14     3    0    1
요아니스 프  1985/09/22  35  2018/12/15  52   52        723   42   60   56  243    16   18   12
유광희   21  1988/09/25  32  2011/08/24  51   51      1,511   50   96  113  193     0    4    8
유현명   08  1979/05/20  42  2002/09/13  51   51      6,634 1106  885  703  271    49   39   31
윤형석   06  1998/12/16  22  2021/07/15  50   50          6    0    1    0    6     0    1    0
이성재   30  1982/10/18  38  2008/05/14  52   52      3,760  288  305  350  220    17   26   17
이아나   99  1989/01/01  32  2011/08/24  50   50      1,213   53   53   67    0     0    0    0
이효식   20  1996/06/04  25  2016/06/18  51   51      1,778  243  182  152  309    35   27   25
임성실   14  1981/02/15  40  2002/09/13  56   56      2,505  341  283  260  120     8   10   11
전진구   99  1996/03/23  25  2017/06/02  50   50        692   44   49   44    0     0    0    0
정도윤   15  1995/11/20  25  2016/06/18  48   48      1,660  133  128  169  231    19   12   22
정동철   04  1990/07/17  31  2011/08/24  48   48      2,513  163  179  187  293    20   14   22
정우주   20  1993/01/23  28  2018/06/14  48   48        796   44   43   55  256     2    7    9
조인권   07  1987/01/18  34  2008/06/18  52   52      4,147  604  470  443  301    32   25   29
조창욱   22  1980/02/06  41  2005/05/04  53   53      4,098  370  349  359   68     3    3    7
진겸     26  1994/07/04  27  2015/06/17  52   52      1,791  147  175  181  179    17   17   14
채상현   16  1993/11/21  27  2014/06/05  52   52      1,498  113  131  138  237    12   20   19
최시대   09  1980/09/12  40  2007/05/18  51   51      5,140  682  613  549  312    50   44   26
최은경   24  1997/02/24  24  2016/06/18  51   51      1,144   67   96   97   65     0    3    4
페로비치 프  1981/07/17  40  2020/04/01  53   53      1,698  318  237  213  280    63   42   33
